song_name,artist,valence,energy,tempo,danceability,loudness,acousticness,instrumentalness,speechiness,liveness,popularity,language,mood
Walking on Sunshine,Katrina,0.749816047538945,0.8802857225639664,143.9196365086843,0.7693963178886665,-8.751850876460509,0.062397808134481,0.0174250836504598,0.177249944781739,0.2603902541101231,22,English,happy
Happy,Pharrell Williams,0.8832290311184181,0.508233797718321,158.19459112971967,0.8745991883601898,-8.30128711457379,0.0727299868828402,0.0550213529560301,0.0817211813031214,0.2336647510712832,26,English,happy
Can't Stop the Feeling,Justin Timberlake,0.7727780074568463,0.6164916560792167,136.71117368334276,0.5627722372934189,-7.662842811718255,0.1465447373174767,0.1368209952651107,0.1634799134368123,0.1198858237554259,29,English,happy
Shake It Off,Taylor Swift,0.8056937753654446,0.736965827544817,102.78702476319988,0.7733951833556472,-8.635807010501669,0.0260206371941118,0.2846656611759999,0.1941574456226751,0.3329390718407614,84,English,happy
Uptown Funk,Bruno Mars,0.7218455076693483,0.5390688456025535,141.05398159072942,0.6980686221828205,-9.02369412124177,0.3596968013237788,0.0103165563345655,0.1845844683533929,0.1405729935600059,93,Korean,happy
Good as Hell,Lizzo,0.8650089137415928,0.6246844304357644,131.20408127066864,0.7460196257044758,-8.521164355795783,0.3878338511058234,0.2325398470083343,0.1897148200659121,0.3631895726496771,61,English,happy
Girls Just Want to Have Fun,Cyndi Lauper,0.8391599915244341,0.8687496940092467,105.30955012311516,0.5881922880886153,-9.638181688715695,0.1301321323053057,0.1166031869068446,0.0761293354015623,0.3400581282031752,43,Spanish,happy
Dancing Queen,ABBA,0.7427013306774357,0.6123738038749523,132.56176498949492,0.5634159012386432,-3.5824241539676827,0.0298202574719083,0.2960660809801552,0.1612816107804317,0.1195504885369603,43,English,happy
Don't Stop Me Now,Queen,0.602208846849441,0.8261845713819337,142.41144063085704,0.8280532256184443,-3.829837226512434,0.0296178606936361,0.1075397185632817,0.049697740119272,0.3520861990564577,60,Spanish,happy
I Gotta Feeling,Black Eyed Peas,0.8493192507310232,0.6323592099410597,103.8135010171614,0.639942044772048,-7.398533423786024,0.2918424713352256,0.1912672414065639,0.1808261662379755,0.2152752238066823,81,English,happy
Levitating,Dua Lipa,0.6478376983753207,0.7852979148891981,145.64710291701385,0.7525747389062734,-3.832262560363512,0.1975182385457563,0.1568198488145982,0.1026819731209534,0.0588966943604333,70,English,happy
Blinding Lights,The Weeknd,0.6431565707973218,0.5125716742746937,138.18462467582685,0.641460191484347,-5.931434470682378,0.3630265895704372,0.0747876687446624,0.099765096916057,0.314442898490067,29,French,happy
Watermelon Sugar,Harry Styles,0.6915192661966489,0.5307919639315172,117.38508717482608,0.5725495792643019,-2.5624187812594155,0.3232481518257668,0.190021126953127,0.178148300331912,0.3312852269146901,32,English,happy
Dynamite,BTS,0.6746280235544143,0.8570235993959912,132.36053451493905,0.8633480698238281,-2.831269600612054,0.1272013899887455,0.033015577358303,0.06874897763213,0.1994877260191897,10,French,happy
Peaches,Justin Bieber,0.9272059063689972,0.8442922333025373,100.41712783187144,0.7298362861599046,-6.660711974809768,0.0888431241882921,0.0359596102001048,0.0873945791386167,0.3800183963693817,81,English,happy
Walking on Sunshine (Version 2),Katrina,0.7292811728083021,0.7075162486973464,142.18113753371068,0.6636333210706823,-2.225743338232314,0.3849789179768445,0.0755346887476092,0.1145322460017055,0.1553074084358693,77,English,happy
Happy (Version 2),Pharrell Williams,0.713936197750987,0.5147547789418131,136.5738600387938,0.7262055604529877,-9.588169990000086,0.1114585856946445,0.2724797657899961,0.0707255214133853,0.100713205231928,51,English,happy
Can't Stop the Feeling (Version 2),Justin Timberlake,0.7957811041110252,0.8942601816442404,114.52331629069002,0.8024609963326453,-3.9070430773702594,0.0950550175969598,0.2184649045835578,0.092523132562273,0.2713070407077528,18,English,happy
Shake It Off (Version 2),Taylor Swift,0.8534118843043579,0.7143098736299034,105.4173862032645,0.8758861230151571,-7.433759480226113,0.0746074041599417,0.0122325424664291,0.1304518003420011,0.2871475266447988,92,English,happy
Uptown Funk (Version 2),Bruno Mars,0.6066351315711425,0.7048372233197124,113.58974651187629,0.7903277556842524,-8.605068567960068,0.2763750952409864,0.1160206038901612,0.1892440980852448,0.0981323304510976,36,English,happy
