song_name,artist,valence,energy,tempo,danceability,loudness,acousticness,instrumentalness,speechiness,liveness,popularity,language,mood
Walking on Sunshine,Katrina,0.749816047538945,0.8802857225639664,143.9196365086843,0.7693963178886665,-8.751850876460509,0.062397808134481064,0.017425083650459836,0.177249944781739,0.2603902541101231,22,English,happy
Happy,Pharrell Williams,0.8832290311184181,0.508233797718321,158.19459112971967,0.8745991883601898,-8.30128711457379,0.07272998688284026,0.055021352956030146,0.08172118130312142,0.23366475107128326,26,English,happy
Can't Stop the Feeling,Justin Timberlake,0.7727780074568463,0.6164916560792167,136.71117368334276,0.5627722372934189,-7.662842811718255,0.1465447373174767,0.13682099526511077,0.1634799134368123,0.11988582375542592,29,English,happy
Shake It Off,Taylor Swift,0.8056937753654446,0.736965827544817,102.78702476319987,0.7733951833556472,-8.635807010501669,0.02602063719411181,0.28466566117599995,0.1941574456226751,0.33293907184076144,84,English,happy
Uptown Funk,Bruno Mars,0.7218455076693483,0.5390688456025535,141.05398159072942,0.6980686221828205,-9.02369412124177,,0.010316556334565519,0.18458446835339296,0.14057299356000594,93,Korean,happy
Good as Hell,Lizzo,0.8650089137415928,0.6246844304357644,131.20408127066864,0.7460196257044758,-8.521164355795783,0.38783385110582347,0.23253984700833435,0.18971482006591217,0.3631895726496771,61,English,happy
Girls Just Want to Have Fun,Cyndi Lauper,0.8391599915244341,0.8687496940092467,105.30955012311517,0.5881922880886153,-9.638181688715695,0.13013213230530574,0.1166031869068446,0.0761293354015623,0.34005812820317527,43,Spanish,happy
Dancing Queen,ABBA,0.7427013306774357,0.6123738038749523,132.56176498949492,0.5634159012386432,-3.5824241539676827,0.02982025747190833,0.2960660809801552,0.16128161078043177,0.11955048853696035,43,English,happy
Don't Stop Me Now,Queen,0.602208846849441,0.8261845713819337,142.41144063085704,0.8280532256184443,-3.829837226512434,0.029617860693636144,0.10753971856328177,0.049697740119272055,0.35208619905645777,60,Spanish,happy
I Gotta Feeling,Black Eyed Peas,0.8493192507310232,0.6323592099410597,103.81350101716141,0.639942044772048,-7.398533423786024,0.2918424713352256,0.19126724140656393,0.1808261662379755,0.2152752238066823,81,English,happy
Levitating,Dua Lipa,0.6478376983753207,0.7852979148891981,145.64710291701385,0.7525747389062734,-3.832262560363512,0.19751823854575631,0.1568198488145982,0.10268197312095344,0.05889669436043332,70,English,happy
Blinding Lights,The Weeknd,0.6431565707973218,0.5125716742746937,138.18462467582683,0.641460191484347,-5.931434470682378,0.3630265895704372,0.07478766874466249,0.09976509691605706,0.31444289849006707,29,French,happy
Watermelon Sugar,Harry Styles,0.6915192661966489,0.5307919639315172,117.38508717482608,0.5725495792643019,-2.5624187812594155,0.3232481518257668,0.19002112695312703,0.178148300331912,0.3312852269146901,32,English,happy
Dynamite,BTS,0.6746280235544143,0.8570235993959912,132.36053451493905,0.8633480698238281,-2.831269600612054,0.12720138998874556,0.033015577358303023,0.06874897763213009,0.19948772601918974,10,French,happy
Peaches,Justin Bieber,0.9272059063689972,0.8442922333025373,100.41712783187144,0.7298362861599046,-6.660711974809768,0.0888431241882921,0.03595961020010484,0.08739457913861676,0.38001839636938173,81,English,happy
Walking on Sunshine (Version 2),Katrina,0.7292811728083021,0.7075162486973464,142.18113753371068,0.6636333210706823,-2.2257433382323146,0.3849789179768445,0.07553468874760924,0.11453224600170553,0.15530740843586938,77,English,happy
Happy (Version 2),Pharrell Williams,0.713936197750987,0.5147547789418131,136.5738600387938,0.7262055604529877,-9.588169990000086,0.11145858569464458,0.2724797657899961,0.07072552141338531,0.10071320523192809,51,English,happy
Can't Stop the Feeling (Version 2),Justin Timberlake,0.7957811041110252,0.8942601816442404,114.52331629069002,0.8024609963326453,-3.9070430773702594,0.09505501759695988,0.21846490458355786,0.09252313256227306,0.27130704070775286,18,English,happy
Shake It Off (Version 2),Taylor Swift,0.8534118843043579,0.7143098736299034,105.4173862032645,0.8758861230151571,-7.433759480226113,0.0746074041599417,0.012232542466429174,0.1304518003420011,0.28714752664479887,92,English,happy
Uptown Funk (Version 2),Bruno Mars,0.6066351315711425,0.7048372233197124,113.58974651187629,0.7903277556842524,-8.605068567960068,0.2763750952409864,0.11602060389016122,0.18924409808524487,0.09813233045109765,36,English,happy
Good as Hell (Version 2),Lizzo,0.7364265404201034,0.5453894084962356,155.48161709671376,0.8948027090214414,-7.936466978278755,0.26399361841367164,0.24516666006036475,0.1243841379719086,0.23537770242460226,31,Korean,happy
Girls Just Want to Have Fun (Version 2),Cyndi Lauper,0.6967409163601807,0.5372411071223597,153.83294547719962,0.9051881257234986,-4.9351883418138565,0.13561191641948028,0.10476287238379826,0.1534124654079407,0.363988590983402,52,English,happy
Dancing Queen (Version 2),ABBA,0.954834569706047,0.8119502183430496,138.52189876925726,0.537862984247772,-8.70697028724309,0.3594216754108317,0.18192871789787698,0.03156349877482704,0.08551504000311125,78,English,happy
Don't Stop Me Now (Version 2),Queen,0.8654007076432223,0.5020246335384875,109.64848308504992,0.7469302052149638,-4.464838418458454,0.26078450380104023,0.06728079283816793,0.1510704676290811,0.13303718062388004,53,English,happy
I Gotta Feeling (Version 2),Black Eyed Peas,0.7301598792637071,0.7985965620472097,138.97797394283288,0.88215053472238,-4.739096861597253,0.22732344133418866,0.028102430348427743,0.0925116865201037,0.1428208286886039,63,Korean,happy
Levitating (Version 2),Dua Lipa,0.6975958573516334,0.8892042219009783,123.58586348000563,0.901420949829701,-4.950890992021897,0.3179245214166594,0.15079112793155763,0.12807366038648105,0.2223811928366024,79,English,happy
Blinding Lights (Version 2),The Weeknd,0.6780971951192178,0.7889808461046022,116.84634174645134,0.5109421848941542,-4.8362216327426575,0.07084427176281959,0.2821375753058743,0.19216785809043987,0.370202536577157,84,English,happy
Watermelon Sugar (Version 2),Harry Styles,0.7480634801021777,0.506182646611547,155.6991137552635,0.6926828667427914,-2.2667614476506435,0.38544799083570114,0.255902836640208,0.08005631165182957,0.18478420501067383,12,English,happy
Dynamite (Version 2),BTS,0.9404546686067428,0.6267688020625111,110.16956480116555,0.7505605681062575,-2.5107618067137523,0.2784119186699892,0.17101835102680948,0.046520003941030647,0.26525252934470944,40,English,happy
Peaches (Version 2),Justin Bieber,0.9960215400417053,0.5560336060946096,131.0997791418242,0.8948178823675799,-4.0738510579663645,0.2788062963981072,0.21074522519613278,0.09111349570735838,0.1527571454925727,65,Korean,happy
Walking on Sunshine (Version 3),Katrina,0.9237444621914055,0.8240453578716723,152.02433911480622,0.910958248650412,-5.909260809112498,0.20060651787487985,0.23948855369003252,0.1404938682322201,0.2956884070401962,55,English,happy
Happy (Version 3),Pharrell Williams,0.9183170677744404,0.8560021367270265,120.27970941109214,0.6690123286879748,-9.248144481273048,0.2313120563984696,0.010782682139022625,0.10915166308251822,0.23992562214765184,14,English,happy
Can't Stop the Feeling (Version 3),Justin Timberlake,0.7146165008513138,0.7363333042276043,101.83001499634297,0.5168066849371464,-3.419195514722734,0.14407625656450515,0.038118153795565435,0.11878135420931675,0.3194977435845138,59,English,happy
Shake It Off (Version 3),Taylor Swift,0.6863284109987373,0.7491561903276001,105.12084789962609,0.5232567745258735,-5.749162947454816,0.21625404864404263,0.19122897044946197,0.1534355267328525,0.39154822781188714,85,English,happy
Uptown Funk (Version 3),Bruno Mars,0.8065201393204782,0.6291825891764984,147.7111716861222,0.6218745130679334,-6.488228634354911,0.03138255253690638,0.007605223024637253,0.19365023049524727,0.34259304217927206,12,English,happy
Good as Hell (Version 3),Lizzo,0.8783896824374792,0.6635811777657079,110.39765920425074,0.5703966692019887,-7.998056814683237,0.2196906658824482,0.21437877681001868,0.14223355404201432,0.14797686393108,31,English,happy
Girls Just Want to Have Fun (Version 3),Cyndi Lauper,0.9819461122652776,0.7951587666783074,133.26124315068404,0.7752743358054585,-6.643199500577681,,0.10679180359537847,0.15883383877894275,0.05503772102041456,75,English,happy
Dancing Queen (Version 3),ABBA,0.6464290562027665,0.5184010568087011,102.4437281391382,0.8849572628049532,-4.370737124959811,0.18966953163493008,0.02935024819530044,0.11357469876986151,0.21571511977319802,64,English,happy
Don't Stop Me Now (Version 3),Queen,0.669280747964006,0.6735406596951892,123.91028406384241,0.7771325441234973,-4.91925079305885,0.01812160390881781,0.11238378438794136,0.1363961856714202,0.2260976905030307,25,English,happy
I Gotta Feeling (Version 3),Black Eyed Peas,0.9425959364753289,0.763477452647578,109.77606562488577,0.5317559363301935,-4.860645774349475,0.010604524216648726,0.175732674382039,0.1898391410422428,0.25141596225655766,82,English,happy
Levitating (Version 3),Dua Lipa,0.7552679704826087,0.7573152873769413,127.49517342949099,0.7455275551921707,-2.4682815297877987,0.1544410551203097,0.28835716914717424,0.18390960913253085,0.11852689717625377,77,English,happy
Blinding Lights (Version 3),The Weeknd,0.6277445203500661,0.5403112005509707,101.09330953909299,0.5424993323401678,-4.535945812669145,0.028475459384091597,0.09569268908812839,0.17362880286480728,0.05814517750753906,79,English,happy
Watermelon Sugar (Version 3),Harry Styles,0.9257873930355743,0.61274190990936,107.08988965729938,0.8135317244138678,-4.968457225760928,0.3509888054108212,0.22052131314116571,0.16659175816542426,0.14871210039995728,70,English,happy
Dynamite (Version 3),BTS,0.6709758175118891,0.8002459006563434,148.41008435603584,0.945727313900303,-6.699058584708588,0.14880723431711326,0.23292388822259905,0.08793660184301304,0.37576506396124765,93,English,happy
Peaches (Version 3),Justin Bieber,0.9433651007372047,0.6715976109500074,145.05226406748983,0.839544293338107,-9.17500904931254,0.3610211626718267,0.15157571173435713,0.17049776923831608,0.16201736036071412,15,English,happy
Walking on Sunshine (Version 4),Katrina,0.9582092913984802,0.6556806714936653,100.6502590888179,0.9074218893886685,-9.269706585710932,0.12772545503616595,0.28501859011524144,0.19160321497938454,0.25070326084315014,84,English,happy
Happy (Version 4),Pharrell Williams,0.8527348848679197,0.6793782087913279,117.59264630188387,0.6478990454164621,-4.619852351383693,0.300949811775072,0.23747371311775456,0.16423508427507416,0.08192213606704163,79,English,happy
Can't Stop the Feeling (Version 4),Justin Timberlake,0.7977681218810326,0.5230235040066578,132.97173293942413,0.6986887256180196,-2.898366537933602,0.1403660050208315,0.035120104928281756,0.054308585948982094,0.3165287211011153,41,English,happy
Shake It Off (Version 4),Taylor Swift,0.8472872253265045,0.540449070449116,105.04640836689984,0.815436109156604,-9.417895949086452,0.32874402371614253,0.21187266814694886,0.04382929270912296,0.07969319992981717,96,English,happy
Uptown Funk (Version 4),Bruno Mars,0.9946558314004702,0.6497083183024481,122.23852882401346,0.8657598052658761,-2.4220113809291304,0.3944004255291484,0.2260134555776825,0.09396412954025568,0.07922525084453408,93,English,happy
Good as Hell (Version 4),Lizzo,0.9108587663709747,0.723361699894322,125.45332055481857,0.9078594732926312,-9.11042014155079,0.19705004171634366,0.0034060934302257207,0.10967230913900147,0.06970614648864308,65,English,happy
